,neighborhood,postal_code,latitude,longitude
0,FLORIDA IMB ,20270,33.51861,-7.64969
1,FLORIDA  VILLA ,20270,33.56222,-7.63232
2,ADDAMANE,20460,33.5318,-7.61389
3,ADMINISTRATIF,20220,33.55698,-7.67782
4,AGENCE URBAINE,20260,33.53651,-7.6952
5,AHL LOGHLAM,20620,33.59787,-7.48822
6,AHL LOGHLAM,20640,33.59787,-7.48822
7,AIN BORJA,20320,33.58902,-7.58375
8,AIN CHIFA II ET III,20540,33.57316,-7.66426
9,AIN CHOK,20470,33.55058,-7.58853
10,AIN DIAB,20180,33.57178,-7.70542
11,AIN SEBAA,20590,33.60156,-7.54537
12,AL AMAL,20600,33.60765,-7.51565
13,AL AZHAR,20620,33.59646,-7.61548
14,AL BAIDA,20610,33.59646,-7.61548
15,AL BAIDA,20370,33.59646,-7.61548
16,AL FADL,20480,33.52679,-7.57864
17,AL FIRDOUS,20220,33.59646,-7.61548
18,AL FOUARATE,20570,33.58183,-7.55415
19,AL IDAA,20480,33.56727,-7.56208
20,AL KAOUTAR,20640,33.59646,-7.61548
21,AL KODIA,20570,33.58226,-7.56137
22,AL MASIRA,20350,33.55905,-7.54261
23,AL MAWLID,20370,33.59646,-7.61548
24,AL MOUSTAKBAL,20270,33.59646,-7.61548
25,AL MOUWAHDDINE,20570,33.59646,-7.61548
26,AL OSRE,20480,33.53508,-7.58607
27,AL QODS,20610,33.62702,-7.50229
28,AL WARD,20220,33.56424,-7.67473
29,ALADARISSA,20270,33.51861,-7.64969
30,ALHNAA,20280,33.50828,-7.66245
31,ALOTHMANIA,20280,33.50828,-7.66245
32,AMAL,20260,33.57098,-7.64816
33,AMAL,20230,33.57886,-7.59604
34,AMINE,20280,33.51861,-7.64969
35,ANASSI,20630,33.59004,-7.49334
36,ANASSI,20640,33.56784,-7.61941
37,ANCIENNE MEDINA,20010,33.59714,-7.61747
38,ANDALOUSS I,20470,33.55568,-7.61031
39,ANDALOUSS II,20550,33.5684,-7.60753
40,ANDALOUSSIA,20390,33.56942,-7.63285
41,ANFA II,20370,33.58926,-7.65902
42,ANFA II,20330,33.59461,-7.6467
43,ANFA SUPÉRIEUR,20170,33.58692,-7.67031
44,ANNAKHIL DIAR AL HANA,20630,33.59646,-7.61548
45,ARTIZANA C DJEMAA BLOC 1 À 16,20430,33.58545,-7.55743
46,ASSAFA,20240,33.59646,-7.61548
47,ATTACHAROUK S1,20640,33.57249,-7.65776
48,ATTACHAROUK S2,20640,33.57249,-7.65776
49,ATTADAMOUNE,20240,33.59646,-7.61548
50,ATTAOUN,20230,33.57886,-7.59604
51,ATTAYSSIR,20350,33.55905,-7.54261
52,AZHARI,20240,33.59646,-7.61548
53,BACHKOU,20420,33.55714,-7.62462
54,BALADIA,20510,33.573,-7.60179
55,BARAKA,20230,33.57239,-7.53867
56,BARAKA 2,20640,33.57249,-7.65776
57,BEAU LIEU,20580,33.53768,-7.58033
58,BEAUCITE,20250,33.57856,-7.51033
59,BEAUCITE HALIMA,20250,33.57856,-7.51033
60,BEAUSEJOUR,20200,33.57655,-7.64805
61,BEN JDIA LIBERTE,20120,33.5856,-7.61516
62,BEN SLIMANE,20110,33.61392,-7.12186
63,BERGER,20380,33.57655,-7.64805
64,BERNOUSSI 2,20610,33.62702,-7.50229
65,BIADA,20500,33.58181,-7.57036
66,BINE LAMDOUNE,20470,33.55737,-7.59773
67,BINE LAMDOUNE,20550,33.5684,-7.60753
68,BIR ANZARANE,20520,33.24898,-8.51962
69,BLOC HOFRA BLOC KHLIFA CD,20430,33.0032,-7.62838
70,BLOCS FAR,20160,33.59651,-7.64235
71,BOUCHRA,20280,33.47535,-7.68092
72,BOUJDOUR,20510,33.573,-7.60179
73,BOURGOGNE,20040,33.59685,-7.64696
74,BOURGOGNE,20050,33.59646,-7.61548
75,CALIFORNIA,20150,33.48227,-7.59442
76,CARRIER GHLIA,20630,33.59004,-7.49334
77,CARRIER RHAMNER,20630,33.59004,-7.49334
78,CARRIER SOKOUILA,20630,33.59004,-7.49334
79,CARRIER ZARABA,20630,33.59004,-7.49334
80,CARRIERE THOMAS,20640,33.57249,-7.65776
81,CASA PLAISANCE,20050,33.59646,-7.61548
82,CASTOR,20580,33.53768,-7.58033
83,CHAHDIA,20240,33.59646,-7.61548
84,CHANTIMAR,20370,33.58926,-7.65902
85,CHARAF,20280,33.50828,-7.66245
86,CHDIA,20230,33.57212,-7.68139
87,CHIKASS,20610,33.62702,-7.50229
88,CHNIDER,20220,33.55698,-7.67782
89,CHRIFA,20460,33.5318,-7.61389
90,CIEL,20210,33.57737,-7.66489
91,CITÉ COURTIN,20340,33.57117,-7.63348
92,CITÉ DE L’AIR,20220,33.3822,-7.5416
93,CITE DEJMAA BLOC 20 À 23,20430,33.54603,-7.56491
94,CITE DEJMAA BLOC 30 À 36,20430,33.5364,-7.57425
95,CITE DEJMAA BLOC 7 À 29,20430,33.54781,-7.57107
96,CITE DEJMAA BLOC ABCDEN,20430,33.53903,-7.56532
97,CITE DJEMAA BLOC FGIMHKL,20430,33.53903,-7.56532
98,CITE DJEMAA BLOC18 ET19 ET 37 À 42,20430,33.54003,-7.5687
99,CITE PLATEAU,20390,33.56628,-7.65567
100,DANDOUNE,20280,33.50828,-7.66245
101,DAR LAMAN,20570,33.58243,-7.5531
102,DERB BALADIA,20700,33.59646,-7.61548
103,DERB BOUCHOUNTOUF,20550,33.5684,-7.60753
104,DERB CHOURFA,20520,33.56396,-7.59892
105,DERB DOUMA,20430,33.5684,-7.60753
106,DERB EL KABIR,20500,33.5851,-7.60176
107,DERB EL KHEIR,20470,33.5684,-7.60753
108,DERB EL MANJRA,20500,33.5851,-7.60176
109,DERB EL MITRE,20550,33.5684,-7.60753
110,DERB FOKARA,20550,33.5684,-7.60753
111,DERB FRAIHA,20430,33.5684,-7.60753
112,DERB GHLEFF,20340,33.57271,-7.62989
113,DERB JDID,20160,33.60051,-7.64519
114,DERB KHALID,20440,33.5736,-7.59499
115,DERB KHALIFA BEN MSIK,20450,33.56028,-7.54407
116,DERB KHLID,20440,33.59646,-7.61548
117,DERB KOREA,20520,33.56396,-7.59892
118,DERB LAADAM,20430,33.5684,-7.60753
119,DERB LAALOU H AL HOUDA,20440,33.57472,-7.52016
120,DERB LAHJAR,20430,33.5684,-7.60753
121,DERB MANJRA,20530,33.57414,-7.58229
122,DERB MIMOUNA,20530,33.56548,-7.5861
123,DERB MY CHARIF,20560,33.58748,-7.57056
124,DERB OMAR SECTEUR 1,20080,33.59064,-7.60769
125,DERB OMAR SECTEUR 2,20090,33.57375,-7.52195
126,DERB SADNI,20530,33.57414,-7.58229
127,DERB SALAMA,20430,33.5684,-7.60753
128,DEUX MARS,20490,33.57534,-7.61132
129,DIYAR,20160,33.60207,-7.65339
130,DOUAR OULED JMEL,20180,33.23858,-8.52828
131,DOUAR SI GHANEM,20180,33.58245,-7.65172
