,neighborhood,postal_code,poi_count
0,ADDAMANE,20460.0,10
1,ADMINISTRATIF,20220.0,31
2,AGENCE URBAINE,20260.0,4
3,AHL LOGHLAM,20620.0,12
4,AHL LOGHLAM,20640.0,12
5,AIN BORJA,20320.0,5
6,AIN CHIFA II ET III,20540.0,3
7,AIN CHOK,20470.0,19
8,AIN DIAB,20180.0,3
9,AIN SEBAA,20590.0,7
10,AL AMAL,20600.0,19
11,AL AZHAR,20620.0,148
12,AL BAIDA,20370.0,148
13,AL BAIDA,20610.0,148
14,AL FIRDOUS,20220.0,148
15,AL FOUARATE,20570.0,8
16,AL IDAA,20480.0,7
17,AL KAOUTAR,20640.0,148
18,AL KODIA,20570.0,15
19,AL MASIRA,20350.0,5
20,AL MAWLID,20370.0,148
21,AL MOUSTAKBAL,20270.0,148
22,AL MOUWAHDDINE,20570.0,148
23,AL OSRE,20480.0,27
24,AL WARD,20220.0,28
25,ALADARISSA,20270.0,20
26,ALHNAA,20280.0,3
27,ALOTHMANIA,20280.0,3
28,AMAL,20230.0,9
29,AMAL,20260.0,41
30,AMINE,20280.0,20
31,ANASSI,20630.0,7
32,ANASSI,20640.0,17
33,ANCIENNE MEDINA,20010.0,125
34,ANDALOUSS I,20470.0,16
35,ANDALOUSS II,20550.0,34
36,ANDALOUSSIA,20390.0,13
37,ANFA II,20330.0,12
38,ANFA II,20370.0,3
39,ANNAKHIL DIAR AL HANA,20630.0,148
40,ARTIZANA C DJEMAA BLOC 1 À 16,20430.0,13
41,ASSAFA,20240.0,148
42,ATTACHAROUK S1,20640.0,15
43,ATTACHAROUK S2,20640.0,15
44,ATTADAMOUNE,20240.0,148
45,ATTAOUN,20230.0,9
46,ATTAYSSIR,20350.0,5
47,AZHARI,20240.0,148
48,BACHKOU,20420.0,23
49,BALADIA,20510.0,25
50,BARAKA,20230.0,4
51,BARAKA 2,20640.0,15
52,BEAU LIEU,20580.0,13
53,BEAUCITE,20250.0,4
54,BEAUCITE HALIMA,20250.0,4
55,BEAUSEJOUR,20200.0,45
56,BEN JDIA LIBERTE,20120.0,108
57,BEN SLIMANE,20110.0,10
58,BERGER,20380.0,45
59,BIADA,20500.0,3
60,BINE LAMDOUNE,20470.0,16
61,BINE LAMDOUNE,20550.0,34
62,BIR ANZARANE,20520.0,17
63,BLOC HOFRA BLOC KHLIFA CD,20430.0,21
64,BLOCS FAR,20160.0,18
65,BOUJDOUR,20510.0,25
66,BOURGOGNE,20040.0,12
67,BOURGOGNE,20050.0,148
68,CALIFORNIA,20150.0,3
69,CARRIER GHLIA,20630.0,7
70,CARRIER RHAMNER,20630.0,7
71,CARRIER SOKOUILA,20630.0,7
72,CARRIER ZARABA,20630.0,7
73,CARRIERE THOMAS,20640.0,15
